topic,question
Computer Organization and Architecture,"In a k-way set associative cache, the cache is divided into v sets, each of which consists of k lines. The lines of a set are placed in sequence one after another. The lines in set s are sequenced before the lines in set (s+1). The main memory blocks are numbered 0 onwards. The main memory block numbered j must be mapped to any one of the cache lines from"
Computer Organization and Architecture,"A computer has a 256 KByte, 4-way set associative, write back data cache with block size of 32 Bytes. The processor sends 32 bit addresses to the cache controller. Each cache tag directory entry contains, in addition to address tag, 2 valid bits, 1 modified bit and 1 replacement bit."
Computer Organization and Architecture,"Assume that for a certain processor, a read request takes 50 nanoseconds on a cache miss and 5 nanoseconds on a cache hit. Suppose while running a program, it was observed that 80% of the processor's read requests result in a cache hit. The average read access time in nanoseconds is __________."
Computer Organization and Architecture,"The memory access time is 1 nanosecond for a read operation with a hit in cache, 5 nanoseconds for a read operation with a miss in cache, 2 nanoseconds for a write operation with a hit in cache and 10 nanoseconds for a write operation with a miss in cache. Execution of a sequence of instructions involves 100 instruction fetch operations, 60 memory operand read operations and 40 memory operand write operations. The cache hit-ratio is 0.9. The average memory access time (in nanoseconds) in executing the sequence of instructions is __________."
Computer Organization and Architecture,"A cache memory unit with capacity of N words and block size of B words is to be designed. If it is designed as a direct mapped cache, the length of the TAG field is 10 bits. If the cache unit is now designed as a 16-way set-associative cache, the length of the TAG field is ______bits."
Digital Logic,"Which of the following is/are EQUAL to 224 in radix-5 (i.e., base-5) notation?"
Digital Logic,A particular number is written as 132 in radix-4 representation. The same number in radix-5 representation is _____.
Digital Logic,"Consider the IEEE-754 single precision floating point numbers P=0xC1800000 and Q=0x3F5C2EF4. Which one of the following corresponds to the product of these numbers (i.e., P x Q), represented in the IEEE-754 single precision format?"
Digital Logic,"Consider a system that uses 5 bits for representing signed integers in 2's complement format. In this system, two integers A and B are represented as A=01010 and B=11010. Which one of the following operations will result in either an arithmetic overflow or an arithmetic underflow?"
Digital Logic,"Consider three floating point numbers A, B and C stored in registers RA, RB and RC, respectively as per IEEE-754 single precision floating point format. The 32-bit content stored in these registers (in hexadecimal form) are as follows.RA = 0xC1400000, RB = 0x42100000, RC = 0x41400000. Which one of the following is FALSE?"
Digital Logic,"Let R1 and R2 be two 4-bit registers that store numbers in 2's complement form. For the operation R1+R2, which one of the following values of R1 and R2 gives an arithmetic overflow?"
Digital Logic,"If the numerical value of a 2-byte unsigned integer on a little endian computer is 255 more than that on a big endian computer, which of the following choices represent(s) the unsigned integer on a little endian computer?"
Digital Logic,"If x and y are two decimal digits and (0.1101) base 2 = (0.8xy5) base 10, the decimal value of x+y is ___________"
Digital Logic,"Consider the following representation of a number in IEEE 754 single-precision floating point format with a bias of 127. S:1, E:10000001, F:11110000000000000000000. Here, S,E and F denote the sign, exponent, and fraction components of the floating point representation.The decimal value corresponding to the above representation (rounded to 2 decimal places) is ____________."
Digital Logic,Let the representation of a number in base 3 be 210. What is the hexadecimal representation of the number?
Digital Logic,"Consider three registers R1, R2, and R3 that store numbers in IEEE-754 single precision floating point format. Assume that R1 and R2 contain the values (in hexadecimal notation) 0x42200000 and 0xC1200000, respectively.If R3 = R1/R2, what is the value stored in R3?"
Digital Logic,"Consider Z = X - Y where X, Y and Z are all in sign-magnitude form. X and Y are each represented in n bits. To avoid overflow, the representation of Z would require a minimum of:"
